iter	Passed	Remaining
0	161	161495
1	172	86129
2	179	59635
3	190	47388
4	202	40329
5	210	34796
6	220	31276
7	227	28254
8	238	26276
9	249	24706
10	256	23096
11	267	22056
12	274	20875
13	284	20069
14	291	19154
15	302	18592
16	309	17881
17	321	17546
18	333	17217
19	340	16702
20	351	16391
21	358	15928
22	368	15664
23	377	15358
24	385	15035
25	399	14964
26	413	14912
27	422	14658
28	434	14532
29	446	14430
30	454	14219
31	465	14074
32	472	13854
33	483	13742
34	495	13650
35	504	13501
36	518	13500
37	532	13469
38	542	13372
39	551	13228
40	564	13197
41	574	13104
42	581	12946
43	591	12860
44	603	12798
45	610	12671
46	620	12586
47	629	12476
48	639	12409
49	647	12301
50	658	12259
51	670	12228
52	679	12147
53	692	12137
54	706	12135
55	720	12152
56	733	12126
57	743	12070
58	756	12059
59	769	12051
60	777	11976
61	788	11936
62	800	11899
63	808	11818
64	821	11814
65	833	11788
66	843	11744
67	855	11718
68	864	11657
69	872	11589
70	882	11553
71	890	11478
72	901	11445
73	908	11369
74	919	11336
75	926	11262
76	937	11235
77	947	11205
78	955	11143
79	966	11119
80	974	11059
81	985	11032
82	995	10995
83	1004	10948
84	1014	10918
85	1022	10863
86	1032	10835
87	1040	10780
88	1051	10760
89	1059	10717
90	1070	10692
91	1080	10667
92	1090	10637
93	1101	10621
94	1116	10633
95	1138	10716
96	1158	10784
97	1168	10759
98	1197	10895
99	1225	11033
100	1250	11129
101	1261	11107
102	1270	11061
103	1292	11133
104	1300	11086
105	1313	11076
106	1320	11019
107	1331	10996
108	1342	10977
109	1351	10938
110	1363	10917
111	1374	10898
112	1382	10850
113	1393	10827
114	1400	10779
115	1411	10759
116	1419	10713
117	1430	10695
118	1444	10690
119	1454	10668
120	1465	10645
121	1478	10640
122	1490	10629
123	1500	10599
124	1513	10591
125	1524	10577
126	1532	10533
127	1543	10517
128	1551	10472
129	1561	10453
130	1572	10431
131	1579	10389
132	1592	10381
133	1599	10339
134	1609	10314
135	1620	10294
136	1628	10260
137	1640	10246
138	1647	10207
139	1657	10183
140	1665	10147
141	1675	10124
142	1682	10083
143	1692	10058
144	1698	10015
145	1708	9992
146	1715	9953
147	1725	9931
148	1737	9922
149	1744	9887
150	1754	9867
151	1762	9831
152	1773	9819
153	1787	9821
154	1803	9829
155	1811	9801
156	1823	9792
157	1836	9786
158	1845	9759
159	1856	9748
160	1868	9734
161	1876	9708
162	1887	9693
163	1895	9660
164	1906	9647
165	1918	9640
166	1927	9615
167	1939	9605
168	1951	9595
169	1959	9567
170	1971	9555
171	1977	9519
172	1988	9508
173	1997	9482
174	2004	9450
175	2010	9412
176	2020	9394
177	2026	9356
178	2036	9338
179	2041	9301
180	2051	9284
181	2058	9251
182	2069	9237
183	2076	9206
184	2085	9187
185	2091	9153
186	2101	9137
187	2107	9103
188	2117	9087
189	2124	9057
190	2134	9040
191	2140	9008
192	2150	8993
193	2157	8961
194	2167	8947
195	2173	8915
196	2183	8899
197	2189	8868
198	2199	8854
199	2205	8823
200	2215	8808
201	2222	8779
202	2232	8765
203	2238	8734
204	2248	8719
205	2254	8690
206	2264	8675
207	2271	8647
